2014-05-142 15:17:25.471 习席 登录了 
2014-06-16 16:25:23| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:34:00| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:34:00| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:35:37| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:35:37| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:36:07| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:36:07| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:36:27| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:36:27| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:36:42| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.005 秒  
2014-06-16 16:36:42| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:37:18| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 16:37:18| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:37:29| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:37:29| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:38:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:38:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:39:43| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:39:43| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:41:57| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:41:57| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:42:15| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:42:15| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:46:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 16:46:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.005 秒  
2014-06-16 16:46:37| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.095 秒  
2014-06-16 16:46:38| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.012 秒  
2014-06-16 16:46:57| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:46:57| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:48:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:48:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:49:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:49:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:49:49| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:49:49| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:50:50| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:50:50| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:51:07| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:51:07| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:52:01| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:52:01| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:52:19| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:52:19| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:52:46| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:52:46| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:54:06| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:54:06| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:54:10| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:54:10| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:55:45| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:55:45| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:57:29| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:57:29| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.007 秒  
2014-06-16 17:09:21| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.011 秒  
2014-06-16 17:09:21| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:13:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 17:13:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:14:36| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:14:36| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 17:15:20| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.025 秒  
2014-06-16 17:15:20| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:15:45| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 17:15:45| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:16:21| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:16:21| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 17:17:07| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 17:17:07| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 17:18:35| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 17:18:35| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 17:19:25| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 17:19:25| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:19:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 17:19:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:20:11| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.015 秒  
2014-06-16 17:20:11| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 17:25:44| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 17:25:44| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.011 秒  
2014-06-16 17:26:03| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:26:03| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 17:30:44| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.006 秒  
2014-06-16 17:30:44| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 17:32:45| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:32:45| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:32:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:32:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 17:33:22| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 17:33:22| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 17:36:13| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 17:36:13| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 19:55:41| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.015 秒  
2014-06-16 19:55:41| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:06:53| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.015 秒  
2014-06-16 20:06:53| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.005 秒  
2014-06-16 20:17:43| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.005 秒  
2014-06-16 20:17:43| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:17:52| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:17:52| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:18:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:18:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:19:10| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:19:10| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:28:43| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.016 秒  
2014-06-16 20:28:43| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:29:05| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.01 秒  
2014-06-16 20:29:05| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:31:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:31:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:31:45| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:31:45| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:32:06| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:32:06| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:32:21| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.01 秒  
2014-06-16 20:32:21| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:32:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:32:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:32:50| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:32:50| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:33:05| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:33:05| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 20:34:33| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:34:33| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:35:13| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.008 秒  
2014-06-16 20:35:13| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:35:31| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:35:31| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:35:54| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:35:54| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:49:30| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:49:30| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:50:42| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:50:42| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:51:05| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 20:51:05| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:54:50| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:54:50| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:55:32| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:55:32| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:56:11| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 20:56:11| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:56:40| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:56:40| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:57:02| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:57:02| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.008 秒  
2014-06-16 20:57:23| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:57:23| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 20:57:59| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 20:57:59| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 20:58:48| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.008 秒  
2014-06-16 20:58:48| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:00:27| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.012 秒  
2014-06-16 21:00:27| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.017 秒  
2014-06-16 21:00:40| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:00:40| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:01:26| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:01:26| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:01:55| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:01:55| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:07:14| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:07:14| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:07:21| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:07:21| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:08:03| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:08:03| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:08:15| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:08:15| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:08:56| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:08:56| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:09:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:09:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:09:59| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:09:59| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:10:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:10:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:10:47| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:10:47| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:17:24| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:17:24| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:18:41| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:18:41| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:21:17| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:21:17| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:21:25| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:21:25| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:21:54| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:21:54| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:22:41| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:22:41| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:23:04| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:23:04| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:24:17| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:24:17| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:25:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.007 秒  
2014-06-16 21:25:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 21:25:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:25:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:36:24| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:36:24| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:57:17| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:57:17| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:58:03| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 21:58:03| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:59:33| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:59:33| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 21:59:52| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 21:59:52| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 22:00:15| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 22:00:15| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
